name,population,x,y
Minneapolis,429954,479068.70596171194,4980462.941896188
Saint Paul,285068,492655.66393911897,4977372.357961051
Rochester,119756,543035.1087658596,4874616.28027661
Duluth,86265,568296.2210774797,5181530.873535296
Bloomington,82893,474667.1047459877,4964364.673160021
Brooklyn Park,75781,472906.7624003845,4994170.303133211
Woodbury,75102,505213.4013285537,4974054.0457531465
Saint Cloud,72145,409144.1069336387,5046000.066299786
Plymouth,70576,463236.0424786645,4983779.968197346
Eagan,64206,486881.83794275305,4962765.436053027
Maple Grove,61567,465229.49947076326,4993987.388949841
Coon Rapids,61476,476238.843228014,5002201.306012178
Eden Prairie,60797,462801.1887421447,4966915.810192862
Burnsville,60306,478049.1225330156,4957111.301914806
Blaine,57186,481534.3007689816,5000840.196583079
Lakeville,53074,480709.5279468335,4944105.479430664
Apple Valley,50109,482760.50108301744,4953192.6868711645
Saint Louis Park,50010,471844.99788558495,4977188.357495164
